 ,Area,XM,YM,Perim.
238,6,515.33,275.67,8.49
239,9,504.83,276.28,10.49
240,7,388.50,279.79,9.07
241,14,452.07,280.21,14.73
242,12,414.00,281.00,11.31
243,8,505.25,283.12,10.49
244,13,397.73,285.96,13.90
245,8,500.38,292.62,9.07
246,6,391.00,293.50,7.66
247,12,415.42,293.67,13.31
248,6,453.00,294.50,7.66
249,9,479.50,294.50,9.66
250,7,386.50,295.21,9.07
251,9,466.17,295.61,10.49
252,8,449.00,297.50,9.90
253,8,490.00,298.50,9.90
254,9,442.17,299.39,10.49
255,5,497.30,300.10,7.07
256,7,406.79,302.50,9.07
257,6,420.67,303.33,8.49
258,6,445.00,306.00,9.66
259,7,386.50,311.79,9.07
260,8,403.38,311.62,9.07
261,6,490.00,312.50,7.66
262,8,497.50,313.00,10.49
263,9,380.83,313.39,9.90
264,10,473.50,314.30,11.07
265,8,375.62,315.62,9.07
266,8,425.38,318.38,9.07
267,7,393.50,320.79,9.07
268,9,415.39,321.83,10.49
269,8,396.62,324.62,9.07
270,7,480.93,324.64,9.90
271,6,420.50,325.00,7.66
272,9,491.39,326.17,10.49
273,8,384.88,327.25,9.90
274,9,427.39,329.06,10.49
275,9,443.94,329.83,11.31
276,8,486.38,330.62,9.07
277,8,369.62,331.38,9.07
278,4,372.00,335.00,5.66
279,6,395.33,335.33,8.49
280,10,414.00,337.50,10.49
281,8,455.38,337.38,9.07
282,10,434.00,339.30,10.49
283,7,482.50,340.21,9.07
284,9,366.17,343.61,10.49
285,6,434.33,344.33,8.49
286,6,427.00,346.50,7.66
287,9,479.83,346.39,9.90
288,5,485.10,346.70,7.66
289,6,446.50,347.00,7.66
290,9,361.17,350.39,10.49
291,6,436.00,350.50,7.66
292,6,416.00,354.50,7.66
293,8,403.00,355.38,9.90
294,5,429.10,355.70,7.66
295,6,363.50,356.00,7.66
296,5,358.30,361.10,7.07
297,7,392.50,361.21,9.07
298,5,423.70,360.90,7.66
299,14,372.50,363.00,13.31
300,7,434.21,362.50,8.49
301,7,468.50,362.79,9.07
302,9,474.50,362.50,9.66
303,6,354.00,363.50,7.66
304,7,444.50,364.50,8.49
305,6,459.17,364.33,8.49
306,3,423.83,365.17,5.66
307,9,361.61,367.39,11.07
308,7,412.64,367.21,9.07
309,6,423.33,369.83,9.07
310,5,351.30,372.10,7.07
311,10,443.80,372.80,11.31
312,7,343.50,373.79,9.07
313,7,359.21,373.50,8.49
314,10,402.50,373.70,11.07
315,8,386.38,374.38,9.07
316,7,435.50,374.21,9.07
317,6,380.67,376.33,8.49
318,6,409.67,377.33,8.49
319,7,464.79,377.50,9.07
320,6,468.50,377.00,7.66
321,7,427.50,378.79,9.07
322,8,355.38,382.38,9.07
323,6,374.33,382.33,8.49
324,8,416.62,382.38,9.07
325,7,350.21,383.50,8.49
326,11,397.68,383.68,11.90
